339;4761;CD 38 - GRENOBLE
340;4765;CD 42 - ST ETIENNE
341;11906;CD 59
342;10232;CD 60
343;991;CD 67
344;13552;CD 69
345;4773;CD 73
346;2864;CD 84
347;10301;CD 92
348;19583;CDC BANDIAT TARDOIRE
349;22060;CDC CHARENTE BOEME CHARRAUD
350;19514;CDC D'HORTE ET LAVALETTE
351;19582;CDC DE HAUTE CHARENTE
352;23737;CDC HAUTE TARENTAISE
353;19529;CDC SEUIL CHARENTE PERIGORD
354;23115;CDG 21
355;23754;CEA
356;8989;CEGELEC
357;20013;CEGELEC INFRA BRETAGNE
358;23236;CELEX
359;18738;CENTRAL FINANCE AND CONTRACTS UNIT TURKEY
360;22654;CENTRE COMMERCIAL CORA
361;19312;CENTRE DE GESTION DE LA MANCHE
362;23382;CENTRE DE REEDUCATION SPECIALISE ST LUC
363;19460;CENTRE DES FINANCES PUBLIQUES DE LA CHARENTE
364;23618;CENTRE DES IMPOTS COTE IVOIRE
365;22848;CENTRE EDUCATIF CAMILLE VEYRON
366;22924;CENTRE HOSPITALIER CAMILLE CLAUDEL
367;20586;CENTRE HOSPITALIER CAMILLE CLAUDEL
368;19291;CENTRE HOSPITALIER DE GIRAC
369;20408;CENTRE HOSPITALIER DE JONZAC
370;22758;CENTRE HOSPITALIER DE LA ROCHEFOUCAULD
371;19261;CENTRE HOSPITALIER DE LA ROCHELLE
372;23072;CENTRE HOSPITALIER DE NOVILLARS
373;3318;CENTRE HOSPITALIER DE PONTARLIER
374;19220;CENTRE HOSPITALIER DE REDON
375;19264;CENTRE HOSPITALIER DE ROYAN
376;20158;CENTRE HOSPITALIER DE RUFFEC
377;23255;CENTRE HOSPITALIER DE SAINTONGE
378;19579;CENTRE HOSPITALIER ESQUIROL
379;22974;CENTRE HOSPITALIER INTERCOMMUNAL MONTS ET BARRAGE
380;22685;CENTRE HOSPITALIER LABAJOUDERIE
381;9914;CENTRE HOSPITALIER SAINTE ANNE
382;23533;CENTRE NATIONAL DU CINEMA ET DE L'IMAGE ANIMEE
383;19331;CENTRE REGIONAL DE DOCUMENTATION
384;23428;CENTRE SOCIAL D'ARGONNE
385;23128;CENTREX
386;22613;CERUR
387;22936;CEVA FREIGHT MANAGEMENT FRANCE SAS
388;1833;CFA
389;20493;CFA GRAND OUEST
390;2204;CFA RHONE ALPES AUVERGNE
391;22705;CFAO
392;23700;CFC FACADES
393;20546;CGR (CONSTRUCTION GENERALE RENNAISE)
394;22803;CH SAINT DENIS
395;20911;CHAINE THERMALE DU SOLEIL
396;23624;CHAMBAUD ARCHITECTES
397;10203;CHAMBERY METROPOLE
398;21258;CHAMBRE DE COMMERCE ET D'INDUSTRIE D'ANGOULEME
399;22899;CHAMBRE DES METIERS
400;20358;CHAMBRE DES METIERS ET DE L ARTISANAT DU MORBIHAN
401;23417;CHAMBRE DES METIERS ET DE L'ARTISANAT DE MOSELLE
402;22390;CHAMPGUEFFIER
403;19102;CHAMPTOCE DISTRI
404;13518;CHARTRES AMENAGEMENT
405;19884;CHATEAULIN DISTRIBUTION
406;18972;CHAUNY
407;1235;CHEREAU SAS
408;19101;CHESAPEAKE
409;22597;CHRONO-MATERIEL
410;19032;CHRU DE BREST
411;22575;CHRU MONTPELLIER
412;20670;CHS ALLONNES
413;20485;CHU DE CAEN
414;23387;CHU DE REIMS
415;19332;CIAS CIDERAL
416;21859;CIAS DU CONFOLENTAIS
417;19389;CIAS OUEST RENNES
418;23695;CICO
419;20798;CIF COOPERATIVE
420;22483;CILOGER
421;18821;CIRCET
