N_Client,Nom_Client
23657,COMMUNAUTE DE COMMUNES DU PAYS DE LIVAROT
23721,CC DU GRAND LANGRES
23593,DINARD MARKET SPAR
23595,VILLE DE COLMAR
23597,SNCF HELLEMMES INFRAPOLE NORD EUROPEEN
23598,VILLE D'ACIGNE
23599,ORANGE 
23605,NEXITY QUIMPER
23607,DLJ GESTION
23609,HAUT DE MER SARL
23610,SARL SUPERETTE DE RECOUVRANCE
1544,STI
18290,EDF DIRECTION IMMOBILIER GROUPE
21583,VEOLIA EAU
19102,CHAMPTOCE DISTRI
23178,VILLE DE MONTCEAU-LES-MINES
23188,MAIRIE DE ST MEDARD SUR ILLE
23189,COMMUNAUTE DE COMMUNES PAYS BELMONTAIS
23190,DINAN COMMUNAUTE
23191,COMMUNE DE BELLEVAUX
23193,SARL UJAC
23198,RESEAU CANOPE
23382,CENTRE DE REEDUCATION SPECIALISE ST LUC
23384,COMMUNE DE EPERNAY
23179,MAIRIE DE PUY GUILLAUME
23182,COMMUNE DE ORIGNOLLES
23357,STUDIO ORY
23375,PROMOLOGIS
23388,SDEDA
23389,EHPAD LEGAY COLIN
23392,COMMUNE D'AGGLOMERATION EPINAL
23394,COMMUNAUTE COMMUNE LORRAINES DU LONGUYONNAIS
23395,CONSEIL DEPARTAMENTAL ILFOV
23594,DEPARTEMENT DE LA SEINE SAINT DENIS
23596,SAS SAVOIE
23602,DEPARTEMENT DES BOUCHES DU RHONE
23606,SIVOS DE SANCEY
23608,COMMUNAUTE DE COMMUNES SUD EST DU PAYS MANCEAU
23611,MAIRIE D'AZE
23622,COFINIMMO SA SUCCURSALE
23623,COMMUNE DE GRAND FAILLY
23624,CHAMBAUD ARCHITECTES
18393,NIEVRE AMENAGEMENT
1564,THERMODYN
21654,VILLE DE SAINT HERBLAIN
21660,ENTREPRISE SDEL JANZ+
6989,MAIRIE DE SAIN BEL
19212,BOUYGUES IMMOBILIER
19213,CONSEIL REGIONAL DES PAYS DE LA LOIRE
19214,GUINGAMP HABITAT
19215,OPH DE L'ANGOUMOIS
19216,COMAGA
19217,MINISTERE DE L'ECONOMIE ET DES FINANCES
19218,BREST METROPOLE HABITAT
19219,SNCF
19220,CENTRE HOSPITALIER DE REDON
19221,REGION BRETAGNE
19222,SAEML TERRITOIRES CHARENTES
19387,DEPARTEMENT DE PARIS
19388,DEPARTEMENT DES HAUTS DE SEINE
19389,CIAS OUEST RENNES
19393,SCI BP RENNES
23374,SARL AOC
23711,SAS SAINTE  BARBE 
23729,MAIRIE DE GRANVILLE
23731,SAEML SCIENTIPOLE AMENAGEMENT
23746,LINGCITY ILE DE FRANCE
23600,MAIRIE DE MANDEREN
23626,CC DU PAYS DES ETANGS
23628,CSBI - MAIRIE DE GIRECOURT
23629,ICAM
23630,CONSEIL DEPARTEMENTAL DES COTES D'ARMOR
23632,MAIRIE DE LANCIEUX
23634,COLMAR AGGLOMERATION
23638,VILLE DE VOUZIERS
23643,MAIRIE MONTIGNAC
23646,DIRIF OUEST
21759,BERTO
21760,ATELIERS MARS
21765,LEROY MERLIN BUCAREST
7010,BIOTEC
23722,DU HAUT CLUZEAU SNC
23723,HYPOCRATE DE LA SALETTE SARL
23385,VILLE DE MOULINS LES METZ
23386,CONSEIL DEPARTEMENTAL DE LA MARNE
23387,CHU DE REIMS
23601,ADENT ARCHITECTURE
23603,OGEC LE LIKES
23604,CC BEAUJOLAIS PIERRES DORêES 
23612,ISII SAS
23614,MAIRIE DE KOUIBLY
23615,MAIRIE DE BONDOUKOU
23616,SAAD
23617,PETROCI
23618,CENTRE DES IMPOTS COTE IVOIRE
23619,MINISTERE DES SPORTS ABIDJAN
23620,MINISTERE DE L EDUCATION NATIONALE BASSAM
23631,M. LAIGNEAU
18611,COMMUNAUTE DE COMMUNES DU PAYS DE NUITS ST GEORGES
18613,EPAURIF
